	reviewer_1	reviewer_2	suspicious_score	commonproducts
264	10895	14596	1	1
265	10895	14597	1	1
266	10927	14673	1	1
267	10927	14674	1	1
268	10932	14684	1	1
269	10934	14559	1	1
270	10934	14560	1	1
271	10940	14685	1	1
272	10940	14686	1	1
273	11064	14926	1	1
274	11114	14863	1	1
275	11114	14889	1	1
276	11114	14998	1	1
277	11114	14999	1	1
278	11114	15000	1	1
279	11114	15001	1	1
280	11114	15003	1	1
281	11155	14994	1	1
282	11155	14995	1	1
283	11234	15011	1	1
284	11234	15012	1	1
285	11234	15013	1	1
286	11267	14541	1	1
287	11419	15239	1	1
288	11581	14628	1	1
289	11603	14736	1	1
290	11603	14737	1	1
291	11636	14490	1	1
292	11636	14491	1	1
293	11636	14492	1	1
294	11636	14493	1	1
295	11663	14521	1	1
296	11663	14522	1	1
297	11666	14548	1	1
298	11666	14549	1	1
299	11677	14500	1	1
300	11677	14501	1	1
301	11677	14503	1	1
302	11677	14504	1	1
303	11697	14564	1	1
304	11697	14565	1	1
305	11697	14566	1	1
306	11739	15178	1	1
307	11765	14564	1	1
308	11765	14565	1	1
309	11839	15194	1	1
310	11839	15195	1	1
311	11924	14642	1	1
312	11924	14644	1	1
313	11924	14645	1	1
314	11928	14652	1	1
315	11928	14653	1	1
316	11928	14654	1	1
317	11933	14613	1	1
318	11933	14614	1	1
319	11933	14615	1	1
320	11997	14578	1	1
321	11997	14581	1	1
322	12037	14666	1	1
323	12118	14699	1	1
324	12121	15121	1	1
325	12179	14745	1	1
326	12183	14746	1	1
327	12183	14747	1	1
328	12275	14877	1	1
329	12275	14939	1	1
330	13294	14893	1	1
331	13294	15029	1	1
332	13294	15030	1	1
333	13294	15032	1	1
334	13294	15034	1	1
335	13364	15241	1	1
336	13862	14885	1	1
337	13862	14981	1	1
338	13862	14982	1	1
339	13862	14983	1	1
340	14174	14880	1	1
341	14174	14953	1	1
342	14236	14584	1	1
343	14236	14585	1	1
344	14236	14586	1	1
345	14490	14491	1	1
346	14490	14492	1	1
347	14491	14492	1	1
348	14493	14494	1	1
349	14494	14495	1	1
350	14497	14498	1	1
351	14498	14499	1	1
352	14498	14500	1	1
353	14498	14501	1	1
354	14499	14502	1	1
355	14500	14501	1	1
356	14503	14504	1	1
357	14503	14505	1	1
358	14503	14506	1	1
359	14503	14507	1	1
360	14503	14508	1	1
361	14504	14505	1	1
362	14504	14506	1	1
363	14504	14507	1	1
364	14504	14508	1	1
365	14505	14506	1	1
366	14505	14507	1	1
367	14505	14508	1	1
368	14506	14508	1	1
369	14508	14509	1	1
370	14509	14510	1	1
371	14509	14511	1	1
372	14509	14512	1	1
373	14510	14511	1	1
374	14510	14512	1	1
375	14514	14515	1	1
376	14514	14517	1	1
377	14515	14517	1	1
378	14515	14518	1	1
379	14516	14518	1	1
380	14517	14518	1	1
381	14518	14519	1	1
382	14519	14520	1	1
383	14521	14522	1	1
384	14522	14525	1	1
385	14522	14526	1	1
386	14522	14527	1	1
387	14523	14524	1	1
388	14524	14526	1	1
389	14524	14527	1	1
390	14526	14527	1	1
391	14528	14529	1	1
392	14529	14530	1	1
393	14530	14531	1	1
394	14531	14533	1	1
395	14534	14535	1	1
396	14536	14537	1	1
397	14536	14538	1	1
398	14536	14539	1	1
399	14537	14538	1	1
400	14537	14539	1	1
401	14538	14539	1	1
402	14539	14540	1	1
403	14542	14543	1	1
404	14542	14544	1	1
405	14543	14544	1	1
406	14544	14546	1	1
407	14545	14546	1	1
408	14545	14547	1	1
409	14546	14547	1	1
410	14548	14549	1	1
411	14550	14551	1	1
412	14553	14554	1	1
413	14553	14555	1	1
414	14556	14557	1	1
415	14556	14558	1	1
416	14557	14558	1	1
417	14557	14559	1	1
418	14558	14559	1	1
419	14559	14560	1	1
420	14562	14563	1	1
421	14562	14564	1	1
422	14562	14565	1	1
423	14563	14564	1	1
424	14563	14565	1	1
425	14564	14565	1	1
426	14566	14567	1	1
427	14567	14568	1	1
428	14568	14569	1	1
429	14568	14570	1	1
430	14569	14570	1	1
431	14571	14572	1	1
432	14573	14574	1	1
433	14573	14575	1	1
434	14573	14576	1	1
435	14574	14575	1	1
436	14574	14577	1	1
437	14575	14576	1	1
438	14575	14577	1	1
439	14576	14577	1	1
440	14577	14578	1	1
441	14577	14579	1	1
442	14577	14580	1	1
443	14577	14582	1	1
444	14578	14579	1	1
445	14578	14580	1	1
446	14579	14580	1	1
447	14579	14582	1	1
448	14580	14582	1	1
449	14583	14584	1	1
450	14583	14585	1	1
451	14584	14585	1	1
452	14585	14586	1	1
453	14587	14589	1	1
454	14587	14591	1	1
455	14587	14592	1	1
456	14589	14590	1	1
457	14589	14591	1	1
458	14589	14592	1	1
459	14590	14591	1	1
460	14591	14592	1	1
461	14591	14593	1	1
462	14592	14593	1	1
463	14593	14596	1	1
464	14594	14595	1	1
465	14594	14596	1	1
466	14594	14597	1	1
467	14595	14596	1	1
468	14595	14597	1	1
469	14596	14597	1	1
470	14596	14598	1	1
471	14597	14598	1	1
472	14597	14599	1	1
473	14598	14599	1	1
474	14599	14600	1	1
475	14599	14601	1	1
476	14600	14601	1	1
477	14601	14602	1	1
478	14603	14604	1	1
479	14604	14605	1	1
480	14604	14606	1	1
481	14605	14606	1	1
482	14605	14607	1	1
483	14606	14607	1	1
484	14606	14608	1	1
485	14607	14608	1	1
486	14609	14610	1	1
487	14609	14611	1	1
488	14610	14611	1	1
489	14613	14614	1	1
490	14613	14615	1	1
491	14614	14615	1	1
492	14614	14616	1	1
